City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Albany,90,US,1552525685,51,42.65,-73.75,42.01,3.36
Mataura,20,NZ,1552525207,65,-46.19,168.86,59.0,1.99
Ancud,20,CL,1552521600,76,-41.87,-73.83,53.6,8.05
Maragogi,68,BR,1552526261,100,-9.01,-35.22,76.79,2.73
Jamestown,0,AU,1552525545,94,-33.21,138.6,62.16,4.41
Tasiilaq,90,GL,1552521000,92,65.61,-37.64,23.0,3.36
Butaritari,88,KI,1552525843,100,3.07,172.79,80.21,8.99
Gedo,24,ET,1552526261,94,9.01,37.45,54.74,3.18
Lavrentiya,64,RU,1552526261,100,65.58,-170.99,16.04,32.59
Sarangani,100,PH,1552526045,100,5.4,125.46,79.17,7.99
Kaura Namoda,0,NG,1552526261,54,12.59,6.58,72.11,3.51
Normandin,90,CA,1552524240,74,48.84,-72.53,35.6,12.75
Sisimiut,20,GL,1552526015,39,66.94,-53.67,-13.26,1.61
Port Alfred,64,ZA,1552525636,93,-33.59,26.89,64.0,7.87
Mar del Plata,0,AR,1552525424,90,-46.43,-67.52,57.21,4.41
Rikitea,100,PF,1552525407,100,-23.12,-134.97,74.72,21.52
Upernavik,32,GL,1552525837,100,72.79,-56.15,-3.54,2.39
Mana,0,RS,1552523400,80,43.52,20.24,39.2,5.82
Quatre Cocos,20,MU,1552526045,83,-20.21,57.76,73.4,5.82
Ola,24,RU,1552526262,100,59.58,151.3,12.17,4.41
Dikson,80,RU,1552525444,91,73.51,80.55,12.12,25.1
Kodinsk,92,RU,1552526024,91,58.6,99.18,33.59,8.99
Vaini,0,IN,1552521600,49,15.34,74.49,69.8,2.06
Kapaa,1,US,1552525696,57,22.08,-159.32,80.6,13.87
Llangefni,92,GB,1552526157,93,53.26,-4.31,46.99,23.04
Loanda,20,BR,1552526262,97,-22.93,-53.14,71.97,2.62
Gaya,75,IN,1552521600,82,24.8,85.01,68.0,4.7
Ushuaia,0,AR,1552521600,53,-54.81,-68.31,51.8,3.36
Busselton,0,AU,1552525506,47,-33.64,115.35,69.01,14.14
Yellowknife,75,CA,1552525697,61,62.45,-114.38,12.2,6.93
Kandrian,48,PG,1552526262,85,-6.21,149.55,82.19,3.51
Barrow,0,AR,1552525408,76,-38.31,-60.23,58.07,9.44
Oistins,75,BB,1552521600,78,13.07,-59.53,78.8,12.75
Kahului,40,US,1552526203,61,20.89,-156.47,82.0,21.92
Aktau,68,KZ,1552523400,100,43.65,51.16,42.8,11.18
Hilo,90,US,1552525701,73,19.71,-155.08,75.2,5.82
Kijang,0,KR,1552521600,30,35.24,129.21,41.0,5.82
Longyearbyen,20,NO,1552524600,70,78.22,15.63,-0.41,3.36
Saint Anthony,90,US,1552525847,59,43.97,-111.68,35.6,4.7
Baykit,88,RU,1552525907,92,61.68,96.39,28.32,8.32
Sao Joao da Barra,12,BR,1552526040,94,-21.64,-41.05,83.94,23.76
